brand,racquet,grade,grip,used_price,new_price,discount_pct,new_cheaper,in_stock,sku,code,list_price,rating,reviews,specs,nspec,url,is_new,verdict,median,basis,was_price
Wilson,Wilson Ultra 100L v5 Racquet,Grade B,"4 3/8""",159.0,289.0,45,False,1,UR8B11A,WU10L5,,5.0,4,"{'head': '100 in² / 645.16 cm²', 'length': '27in / 68.58cm', 'weight': '10.4oz / 295g', 'balance': '12.99in / 32.99cm / 4 pts HL', 'swingweight': '310', 'stiffness': '64', 'beam': '24mm / 26.5mm / 24.5mm', 'composition': 'Carbon Fiber Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Wilson Pro Performance', 'tension': '50-60 pounds'}","{'head_in2': 100.0, 'weight_oz': 10.4, 'weight_g': 295.0, 'swingweight': 310.0, 'stiffness': 64.0, 'balance_pts': -4.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=WU10L5,False,,,,
Head,Head Instinct MP 2025 Racquet,Grade B,"4 3/8""",99.0,149.0,34,False,1,UR0C05D,HINMP,199.0,4.8,6,"{'head': '100 in² / 645.16 cm²', 'length': '27in / 68.58cm', 'weight': '11.2oz / 318g', 'balance': '13in / 33.02cm / 4 pts HL', 'swingweight': '317', 'stiffness': '64', 'beam': '23mm / 26mm / 23mm', 'composition': 'Auextic/Graphene Inside/Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Head Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 100.0, 'weight_oz': 11.2, 'weight_g': 318.0, 'swingweight': 317.0, 'stiffness': 64.0, 'balance_pts': -4.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HINMP,False,,,,119.0
Wilson,Wilson Blade 104 v10 Racquet,Grade B,"4 3/8""",199.0,299.0,33,False,1,UR8B18F,WB104V,,5.0,1,"{'head': '104 in² / 670.97 cm²', 'length': '27.5in / 69.85cm', 'weight': '10.8oz / 306g', 'balance': '12.99in / 32.99cm / 6 pts HL', 'swingweight': '315', 'stiffness': '64', 'beam': '22mm / 22mm / 22mm', 'composition': 'Basalt/Braided Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Wilson Pro Performance', 'tension': '47-57 pounds'}","{'head_in2': 104.0, 'weight_oz': 10.8, 'weight_g': 306.0, 'swingweight': 315.0, 'stiffness': 64.0, 'balance_pts': -6.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=WB104V,False,,,,
Tecnifibre,Tecnifibre TFight 300 ID Racquet,Grade C,"4 3/8""",139.0,201.75,31,False,1,UR0C05B,TF30ID,269.0,5.0,2,"{'head': '100 in² / 645.16 cm²', 'length': '27in / 68.58cm', 'weight': '11.2oz / 318g', 'balance': '12.99in / 32.99cm / 4 pts HL', 'swingweight': '318', 'stiffness': '65', 'beam': '22.5mm / 22.5mm / 22.5mm', 'composition': 'Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Tecnifibre X-Tra Feel', 'tension': '49-55 pounds'}","{'head_in2': 100.0, 'weight_oz': 11.2, 'weight_g': 318.0, 'swingweight': 318.0, 'stiffness': 65.0, 'balance_pts': -4.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=TF30ID,False,,,,229.0
Wilson,Wilson Clash 100L v3 Racquet,Grade C,"4 1/4""",199.0,289.0,31,False,1,UR8B13F,CL1L3V,,5.0,1,"{'head': '100 in² / 645.16 cm²', 'length': '27in / 68.58cm', 'weight': '10.4oz / 295g', 'balance': '12.79in / 32.49cm / 6 pts HL', 'swingweight': '301', 'stiffness': '54', 'beam': '24.5mm / 24.5mm / 24.5mm', 'composition': 'Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Wilson Pro Performance', 'tension': '50-60 pounds'}","{'head_in2': 100.0, 'weight_oz': 10.4, 'weight_g': 295.0, 'swingweight': 301.0, 'stiffness': 54.0, 'balance_pts': -6.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=CL1L3V,False,,,,
Head,Head Speed Tour 2026 Racquet,Grade C,"4 3/8""",189.0,269.0,30,False,1,UR0C35E,HSPDT6,,4.5,10,"{'head': '97 in² / 625.81 cm²', 'length': '27in / 68.58cm', 'weight': '11.4oz / 323g', 'balance': '12.79in / 32.49cm / 6 pts HL', 'swingweight': '325', 'stiffness': '61', 'beam': '23mm / 23mm / 23mm', 'composition': 'Auxetic 2/Graphene Inside/Boron/Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Head Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 97.0, 'weight_oz': 11.4, 'weight_g': 323.0, 'swingweight': 325.0, 'stiffness': 61.0, 'balance_pts': -6.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HSPDT6,False,typical,187.52538854271262,"4 past prices across grades, adjusted to Grade C",
Tecnifibre,Tecnifibre TFight 300 Racquet,Grade B,"4 1/2""",189.0,269.0,30,False,1,UR0B25C,TF30ST,,5.0,2,"{'head': '100 in² / 645.16 cm²', 'length': '27in / 68.58cm', 'weight': '11.2oz / 318g', 'balance': '12.99in / 32.99cm / 4 pts HL', 'swingweight': '318', 'stiffness': '65', 'beam': '22.5mm / 22.5mm / 22.5mm', 'composition': 'Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Tecnifibre X-Tra Feel', 'tension': '49-55 pounds'}","{'head_in2': 100.0, 'weight_oz': 11.2, 'weight_g': 318.0, 'swingweight': 318.0, 'stiffness': 65.0, 'balance_pts': -4.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=TF30ST,False,,,,
Wilson,Wilson Blade 104 v10 Racquet,Grade A,"4 3/8""",209.0,299.0,30,False,1,UR8B03G,WB104V,,5.0,1,"{'head': '104 in² / 670.97 cm²', 'length': '27.5in / 69.85cm', 'weight': '10.8oz / 306g', 'balance': '12.99in / 32.99cm / 6 pts HL', 'swingweight': '315', 'stiffness': '64', 'beam': '22mm / 22mm / 22mm', 'composition': 'Basalt/Braided Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Wilson Pro Performance', 'tension': '47-57 pounds'}","{'head_in2': 104.0, 'weight_oz': 10.8, 'weight_g': 306.0, 'swingweight': 315.0, 'stiffness': 64.0, 'balance_pts': -6.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=WB104V,False,,,,
Wilson,Wilson Clash 108 v3 Racquet,Grade B,"4 1/2""",209.0,299.0,30,False,1,UR8A12E,CL183V,,4.3,6,"{'head': '108 in² / 696.77 cm²', 'length': '27.25in / 69.22cm', 'weight': '10.4oz / 295g', 'balance': '13.5in / 34.29cm / 1 pts HL', 'swingweight': '312', 'stiffness': '58', 'beam': '24.5mm / 24.5mm / 24.5mm', 'composition': 'Graphite', 'power': 'Medium', 'stroke': 'Medium', 'swing': 'Medium', 'griptype': 'Wilson Pro Performance', 'tension': '50-60 pounds'}","{'head_in2': 108.0, 'weight_oz': 10.4, 'weight_g': 295.0, 'swingweight': 312.0, 'stiffness': 58.0, 'balance_pts': -1.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=CL183V,False,typical,209.0,"3 past prices, this grade",
Wilson,Wilson Clash 108 v3 Racquet,Grade B,"4 1/2""",209.0,299.0,30,False,1,UR0C03F,CL183V,,4.3,6,"{'head': '108 in² / 696.77 cm²', 'length': '27.25in / 69.22cm', 'weight': '10.4oz / 295g', 'balance': '13.5in / 34.29cm / 1 pts HL', 'swingweight': '312', 'stiffness': '58', 'beam': '24.5mm / 24.5mm / 24.5mm', 'composition': 'Graphite', 'power': 'Medium', 'stroke': 'Medium', 'swing': 'Medium', 'griptype': 'Wilson Pro Performance', 'tension': '50-60 pounds'}","{'head_in2': 108.0, 'weight_oz': 10.4, 'weight_g': 295.0, 'swingweight': 312.0, 'stiffness': 58.0, 'balance_pts': -1.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=CL183V,False,typical,209.0,"3 past prices, this grade",
